,revenue,cogs,gross_profit,operating_expenses,net_income,Quarter,YearAndQuarter
0,9673000000,4466000000,5207000000,3145000000,1443000000,1,2008Q1
1,9470000000,4221000000,5249000000,2994000000,1601000000,2,2008Q2
2,10217000000,4198000000,6019000000,2921000000,2014000000,3,2008Q3
3,8226000000,3857000000,4369000000,2830000000,234000000,4,2008Q4
4,7145000000,3907000000,3238000000,2591000000,629000000,1,2009Q1
5,8024000000,3945000000,4079000000,4091000000,-398000000,2,2009Q2
6,9389000000,3985000000,5404000000,2825000000,1856000000,3,2009Q3
7,10569000000,3729000000,6840000000,4343000000,2282000000,4,2009Q4
8,10299000000,3770000000,6529000000,3081000000,2442000000,1,2010Q1
9,10765000000,3530000000,7235000000,3254000000,2887000000,2,2010Q2
10,11102000000,3781000000,7321000000,3185000000,2955000000,3,2010Q3
11,11457000000,4051000000,7406000000,3383000000,3180000000,4,2010Q4
12,12847000000,4962000000,7885000000,3727000000,3160000000,1,2011Q1
13,13032000000,5130000000,7902000000,3967000000,2954000000,2,2011Q2
14,14233000000,5215000000,9018000000,4233000000,3468000000,3,2011Q3
15,13887000000,4935000000,8952000000,4353000000,3360000000,4,2011Q4
16,12906000000,4641000000,8265000000,4455000000,2738000000,1,2012Q1
17,13501000000,4947000000,8554000000,4722000000,2827000000,2,2012Q2
18,13457000000,4942000000,8515000000,4674000000,2972000000,3,2012Q3
19,13477000000,5660000000,7817000000,4662000000,2468000000,4,2012Q4
20,12580000000,5514000000,7066000000,4547000000,2045000000,1,2013Q1
21,12811000000,5341000000,7470000000,4751000000,2000000000,2,2013Q2
22,13483000000,5069000000,8414000000,4910000000,2950000000,3,2013Q3
23,13834000000,5263000000,8571000000,5022000000,2625000000,4,2013Q4
24,12764000000,5151000000,7613000000,5103000000,1930000000,1,2014Q1
25,13831000000,4914000000,8917000000,5073000000,2796000000,2,2014Q2
26,14554000000,5096000000,9458000000,4918000000,3317000000,3,2014Q3
27,14721000000,5100000000,9621000000,5168000000,3661000000,4,2014Q4
28,12781000000,5051000000,7730000000,5115000000,1992000000,1,2015Q1
29,13195000000,4947000000,8248000000,5352000000,2706000000,2,2015Q2
30,14465000000,5354000000,9111000000,4919000000,3109000000,3,2015Q3
31,14914000000,5324000000,9590000000,5291000000,3613000000,4,2015Q4
32,13702000000,5572000000,8130000000,5562000000,2046000000,1,2016Q1
33,13533000000,5560000000,7973000000,6655000000,1330000000,2,2016Q2
34,15778000000,5795000000,9983000000,5521000000,3378000000,3,2016Q3
35,16374000000,6269000000,10105000000,5579000000,3562000000,4,2016Q4
36,14796000000,5649000000,9147000000,5548000000,2964000000,1,2017Q1
37,14763000000,5665000000,9098000000,5271000000,2808000000,2,2017Q2
38,16149000000,6092000000,10057000000,4942000000,4516000000,3,2017Q3
39,17053000000,6286000000,10767000000,5372000000,-687000000,4,2017Q4
40,,6335000000,9731000000,5261000000,4454000000,1,2018Q1
41,,6543000000,10419000000,5146000000,5006000000,2,2018Q2
42,,6803000000,12360000000,5011000000,6398000000,3,2018Q3
43,,7430000000,11227000000,5003000000,5195000000,4,2018Q4
44,,6972000000,9089000000,4915000000,3974000000,1,2019Q1
45,,6627000000,9878000000,5261000000,4179000000,2,2019Q2
46,,7895000000,11295000000,4848000000,5990000000,3,2019Q3
47,,8331000000,11878000000,5081000000,6905000000,4,2019Q4
48,,7812000000,12016000000,4978000000,5661000000,1,2020Q1
49,,9221000000,10507000000,4810000000,5105000000,2,2020Q2
50,,8592000000,9741000000,4682000000,4276000000,3,2020Q3
51,,8630000000,11348000000,5464000000,5857000000,4,2020Q4
52,,8819000000,10854000000,7160000000,3361000000,1,2021Q1
53,,8425000000,11206000000,5660000000,5061000000,2,2021Q2
54,,8446000000,10746000000,5519000000,6823000000,3,2021Q3
55,,9519000000,11009000000,6020000000,4623000000,4,2021Q4
56,,9109000000,9244000000,4903000000,8113000000,1,2022Q1
57,,9734000000,5587000000,6287000000,-454000000,2,2022Q2
58,,8803000000,6535000000,6710000000,1019000000,3,2022Q3
59,,8542000000,5500000000,6632000000,-664000000,4,2022Q4
60,,7707000000,4008000000,5476000000,-2758000000,1,2023Q1
61,,8311000000,4638000000,5654000000,1481000000,2,2023Q2
62,,8140000000,6018000000,6026000000,297000000,3,2023Q3
63,,8359000000,7047000000,4462000000,2669000000,4,2023Q4
64,,7507000000,5217000000,6286000000,-381000000,1,2024Q1
65,,8286000000,4547000000,6511000000,-1610000000,2,2024Q2
66,,11287000000,1997000000,11054000000,-16639000000,3,2024Q3
67,,8676000000,5584000000,5172000000,-126000000,4,2024Q4
